Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Eastern Nigeria,Nigeria,Eastern Community 717,7801,Well,58.8,5,2,Toilets,42590,Yes,No,1.7,21.6,73.1
Central Senegal,Senegal,Central Community 718,8734,Well,53.4,23,6,Latrines,32749,No,No,8.9,9.2,60.4
Western Kenya,Kenya,Western Community 719,13168,River,86.4,5,9,Toilets,30038,No,Yes,7.7,19.6,90.0
Southern Zambia,Zambia,Southern Community 720,10053,Borehole,38.9,2,4,Latrines,34292,Yes,Yes,8.8,19.6,73.6
Eastern Nigeria,Nigeria,Eastern Community 721,9532,Well,95.2,32,0,Latrines,34313,Yes,Yes,4.7,5.9,51.3
Northern Malawi,Malawi,Northern Community 722,11973,Borehole,99.7,23,1,Latrines,18128,No,Yes,6.8,26.4,84.5
Northern Ghana,Ghana,Northern Community 723,12045,Borehole,48.4,2,1,Toilets,35006,Yes,No,2.1,3.4,66.3
Eastern Rwanda,Rwanda,Eastern Community 724,7956,Well,52.5,28,2,Latrines,16404,No,No,8.4,24.1,86.1
Eastern Rwanda,Rwanda,Eastern Community 725,11151,River,95.4,8,1,Toilets,35143,Yes,Yes,1.5,22.5,70.5
Northern Malawi,Malawi,Northern Community 726,5623,Well,37.9,5,6,Toilets,7544,No,No,7.9,14.5,52.7
Western Uganda,Uganda,Western Community 727,2656,Well,29.6,32,1,Toilets,2028,Yes,No,9.6,4.7,91.0
Eastern Rwanda,Rwanda,Eastern Community 728,5480,River,54.3,46,3,Latrines,29715,Yes,No,5.0,15.5,78.6
Southern Zambia,Zambia,Southern Community 729,6666,Well,58.3,19,6,Latrines,17077,Yes,No,0.8,24.1,63.9
Northern Malawi,Malawi,Northern Community 730,1647,Borehole,46.7,43,8,Latrines,39309,Yes,Yes,4.1,0.2,70.2
Central Senegal,Senegal,Central Community 731,7610,River,33.8,44,5,Latrines,14717,No,Yes,6.9,22.3,87.5
Eastern Rwanda,Rwanda,Eastern Community 732,3041,Well,49.8,47,2,Toilets,35961,No,No,6.6,19.2,80.7
Northern Ghana,Ghana,Northern Community 733,12134,Well,11.7,26,10,Latrines,36986,No,Yes,4.1,14.9,66.8
Northern Ghana,Ghana,Northern Community 734,8547,Borehole,24.4,43,3,Toilets,10366,No,Yes,3.9,4.5,64.9
Northern Malawi,Malawi,Northern Community 735,12052,Borehole,27.7,12,3,Latrines,9087,No,Yes,4.9,18.0,92.0
Eastern Rwanda,Rwanda,Eastern Community 736,7307,Borehole,58.1,37,8,Toilets,43440,Yes,No,8.8,4.8,57.2
Southern Zambia,Zambia,Southern Community 737,12277,Borehole,28.3,23,3,Latrines,37059,Yes,Yes,2.5,3.4,93.0
Eastern Ethiopia,Ethiopia,Eastern Community 738,2667,River,39.5,26,1,Latrines,1320,No,Yes,2.8,28.3,73.1
Dar es Salaam,Tanzania,Dar Community 739,1632,River,61.9,10,7,Latrines,18735,Yes,Yes,7.3,22.8,55.0
Western Kenya,Kenya,Western Community 740,10045,Well,94.7,28,0,Toilets,30712,Yes,Yes,5.7,3.8,84.5
Eastern Ethiopia,Ethiopia,Eastern Community 741,3158,Borehole,81.3,29,6,Latrines,25684,No,No,8.1,24.0,89.3
Eastern Rwanda,Rwanda,Eastern Community 742,11026,Well,82.6,6,7,Toilets,7086,Yes,Yes,9.8,21.5,76.4
Eastern Nigeria,Nigeria,Eastern Community 743,1005,River,56.4,40,6,Toilets,17161,Yes,Yes,9.4,14.2,52.4
Southern Zambia,Zambia,Southern Community 744,1873,Well,50.2,31,5,Toilets,36605,Yes,Yes,9.4,22.8,76.4
Northern Malawi,Malawi,Northern Community 745,13114,Borehole,71.3,37,10,Latrines,36926,Yes,Yes,6.3,4.1,65.3
Eastern Ethiopia,Ethiopia,Eastern Community 746,11412,Well,79.6,12,9,Toilets,43860,Yes,Yes,8.6,0.3,81.6
Eastern Rwanda,Rwanda,Eastern Community 747,2154,Borehole,97.0,45,3,Toilets,41063,No,Yes,1.8,17.7,88.8
Southern Zambia,Zambia,Southern Community 748,14952,Borehole,95.3,11,8,Latrines,12861,Yes,Yes,7.9,15.2,68.4
Western Kenya,Kenya,Western Community 749,11900,Borehole,66.5,36,0,Toilets,15634,Yes,Yes,5.0,23.0,69.4
Eastern Nigeria,Nigeria,Eastern Community 750,5522,River,17.6,31,0,Latrines,26330,No,No,7.2,15.9,65.9
Dar es Salaam,Tanzania,Dar Community 751,5891,Borehole,39.5,24,10,Toilets,5957,No,Yes,6.4,10.3,73.9
Eastern Rwanda,Rwanda,Eastern Community 752,12634,Well,77.7,33,1,Latrines,26647,Yes,No,1.5,24.9,73.6
Northern Malawi,Malawi,Northern Community 753,5944,Well,41.8,10,7,Latrines,38917,No,Yes,6.3,8.2,83.5
Central Senegal,Senegal,Central Community 754,6616,Borehole,64.2,2,7,Toilets,26922,Yes,Yes,3.1,0.3,55.6
Eastern Ethiopia,Ethiopia,Eastern Community 755,11166,River,34.3,43,10,Toilets,18402,Yes,No,7.3,8.6,70.8
Dar es Salaam,Tanzania,Dar Community 756,925,Well,19.3,37,8,Latrines,11777,Yes,Yes,7.6,18.2,52.7
Western Kenya,Kenya,Western Community 757,9439,Well,67.0,2,2,Latrines,7318,No,No,7.4,16.2,61.0
Western Kenya,Kenya,Western Community 758,5421,River,48.8,37,1,Latrines,9642,No,No,0.7,27.8,66.3
Western Uganda,Uganda,Western Community 759,3375,River,13.1,42,8,Toilets,8462,Yes,Yes,2.6,2.1,84.1
Eastern Ethiopia,Ethiopia,Eastern Community 760,2550,River,36.0,30,10,Toilets,19760,No,Yes,4.4,7.4,94.2
Southern Zambia,Zambia,Southern Community 761,14503,Borehole,79.4,25,9,Toilets,2955,No,No,9.4,2.2,73.9
Eastern Nigeria,Nigeria,Eastern Community 762,9620,Well,61.7,11,6,Latrines,9625,Yes,Yes,7.1,27.0,91.1
Eastern Rwanda,Rwanda,Eastern Community 763,1945,Borehole,80.5,6,6,Latrines,41886,Yes,No,6.9,11.3,62.8
Northern Malawi,Malawi,Northern Community 764,3038,Well,92.8,38,8,Toilets,5022,No,No,0.7,15.0,93.2
Central Senegal,Senegal,Central Community 765,1692,River,33.2,1,1,Toilets,18521,No,Yes,1.3,3.4,61.0
Eastern Nigeria,Nigeria,Eastern Community 766,7104,Well,14.6,29,7,Latrines,36565,Yes,Yes,5.7,12.1,90.1
Northern Ghana,Ghana,Northern Community 767,12966,Well,87.8,28,7,Latrines,36117,Yes,Yes,9.7,6.3,70.7
Western Uganda,Uganda,Western Community 768,4518,Well,22.8,14,7,Latrines,27874,No,Yes,7.0,28.4,66.6
Dar es Salaam,Tanzania,Dar Community 769,4574,River,36.4,39,2,Toilets,35028,Yes,No,8.3,24.9,70.8
Dar es Salaam,Tanzania,Dar Community 770,4396,Borehole,36.7,1,9,Toilets,4845,No,Yes,1.5,28.1,63.3
Northern Ghana,Ghana,Northern Community 771,8135,Well,41.7,6,3,Latrines,12114,No,No,2.0,29.1,70.0
Western Uganda,Uganda,Western Community 772,12788,Well,62.4,26,6,Latrines,20819,Yes,Yes,4.7,17.5,66.4
Dar es Salaam,Tanzania,Dar Community 773,11607,River,74.3,39,7,Toilets,42882,No,No,3.5,26.7,54.2
Western Uganda,Uganda,Western Community 774,10305,River,24.4,40,9,Toilets,19317,No,Yes,3.2,3.8,58.6
Eastern Rwanda,Rwanda,Eastern Community 775,2027,Well,74.2,27,1,Toilets,41398,Yes,Yes,0.7,25.2,74.0
Central Senegal,Senegal,Central Community 776,9795,Borehole,95.4,44,8,Latrines,45290,Yes,Yes,7.0,18.5,75.1
Northern Ghana,Ghana,Northern Community 777,14932,River,92.0,17,8,Latrines,23891,No,Yes,2.3,11.5,76.2
Northern Malawi,Malawi,Northern Community 778,10964,Borehole,24.9,23,6,Toilets,20895,No,Yes,8.1,6.8,88.0
Eastern Rwanda,Rwanda,Eastern Community 779,11258,River,68.7,29,1,Latrines,10569,Yes,Yes,6.4,27.2,56.5
Northern Ghana,Ghana,Northern Community 780,6220,Borehole,29.4,19,8,Toilets,13210,No,No,3.4,13.6,77.0
Eastern Nigeria,Nigeria,Eastern Community 781,12667,Well,40.7,49,3,Latrines,12371,No,No,1.7,8.6,66.5
Central Senegal,Senegal,Central Community 782,4555,Well,28.2,34,1,Toilets,23076,Yes,Yes,7.2,1.0,74.3
Eastern Ethiopia,Ethiopia,Eastern Community 783,2668,Well,87.0,13,8,Latrines,26448,Yes,Yes,7.1,4.9,94.5
Western Kenya,Kenya,Western Community 784,9536,Well,89.9,37,6,Toilets,37843,No,Yes,2.4,8.9,52.5
Northern Ghana,Ghana,Northern Community 785,7263,Borehole,16.9,6,9,Latrines,2374,No,Yes,4.0,4.8,50.4
Western Uganda,Uganda,Western Community 786,11033,Well,57.5,36,5,Latrines,36943,No,No,0.6,9.6,51.6
Eastern Rwanda,Rwanda,Eastern Community 787,12564,Borehole,14.9,45,2,Latrines,12592,No,No,2.8,25.2,75.6
Dar es Salaam,Tanzania,Dar Community 788,12252,Borehole,64.5,4,3,Latrines,37516,Yes,Yes,8.9,13.9,71.1
Western Kenya,Kenya,Western Community 789,991,Borehole,41.2,17,1,Toilets,40205,No,No,3.5,2.8,53.0
Central Senegal,Senegal,Central Community 790,6581,River,76.4,9,7,Latrines,23691,No,No,1.6,22.1,95.0
Eastern Rwanda,Rwanda,Eastern Community 791,11278,River,27.8,34,10,Latrines,23280,Yes,No,1.8,8.3,73.1
Northern Malawi,Malawi,Northern Community 792,5573,River,19.7,37,7,Toilets,29547,No,No,1.4,6.1,90.0
Southern Zambia,Zambia,Southern Community 793,3484,Borehole,90.7,37,9,Latrines,48831,No,No,7.7,29.2,64.0
Dar es Salaam,Tanzania,Dar Community 794,9820,Well,82.4,40,3,Toilets,37527,No,No,5.1,14.8,68.0
Southern Zambia,Zambia,Southern Community 795,6005,River,71.4,46,8,Latrines,37478,No,No,0.8,22.9,64.9
Northern Malawi,Malawi,Northern Community 796,1478,Well,71.3,41,4,Toilets,9801,No,Yes,7.2,14.4,63.3
Central Senegal,Senegal,Central Community 797,11375,Well,12.3,13,5,Toilets,40106,No,No,9.0,2.1,89.3
Eastern Rwanda,Rwanda,Eastern Community 798,2138,Borehole,77.7,3,2,Latrines,9119,No,Yes,0.9,18.9,68.5
Eastern Rwanda,Rwanda,Eastern Community 799,1439,River,57.8,44,10,Latrines,32580,Yes,No,7.9,11.1,68.4
Eastern Nigeria,Nigeria,Eastern Community 800,5092,Borehole,94.9,35,4,Toilets,25599,No,No,8.5,2.3,77.5
Northern Malawi,Malawi,Northern Community 801,14875,River,20.7,16,7,Latrines,48007,No,No,9.5,22.6,68.0
Northern Ghana,Ghana,Northern Community 802,12474,River,97.6,24,0,Latrines,42687,No,Yes,5.1,14.8,74.7
Central Senegal,Senegal,Central Community 803,13239,River,63.9,39,3,Toilets,21740,No,Yes,2.1,5.6,88.9
Western Kenya,Kenya,Western Community 804,14101,River,17.3,18,7,Toilets,35498,No,No,9.4,16.3,64.5
Northern Malawi,Malawi,Northern Community 805,5046,River,11.1,15,1,Latrines,46227,No,No,6.7,11.9,83.1
Eastern Ethiopia,Ethiopia,Eastern Community 806,11097,Borehole,28.2,21,1,Toilets,29851,Yes,No,1.7,26.1,73.4
Eastern Nigeria,Nigeria,Eastern Community 807,8503,Well,55.0,43,5,Toilets,9540,No,Yes,5.8,0.2,75.9
Dar es Salaam,Tanzania,Dar Community 808,10240,Well,70.0,23,7,Latrines,12748,No,Yes,4.1,29.8,63.5
Central Senegal,Senegal,Central Community 809,3155,Borehole,21.9,13,10,Latrines,26540,Yes,Yes,9.9,5.2,76.3
Northern Malawi,Malawi,Northern Community 810,5889,Well,33.0,19,6,Latrines,47121,No,Yes,1.7,10.3,76.1
Eastern Rwanda,Rwanda,Eastern Community 811,7090,Borehole,57.9,32,2,Latrines,35319,No,No,3.8,4.0,60.7
Northern Malawi,Malawi,Northern Community 812,4803,Well,22.5,14,9,Latrines,36585,Yes,No,9.3,17.2,86.6
Dar es Salaam,Tanzania,Dar Community 813,14520,Well,89.5,9,2,Latrines,43315,No,Yes,3.3,21.2,63.9
Eastern Nigeria,Nigeria,Eastern Community 814,10806,River,91.6,46,6,Toilets,1250,No,No,6.7,26.1,75.9
Eastern Rwanda,Rwanda,Eastern Community 815,12654,Borehole,59.5,2,0,Toilets,22671,No,Yes,2.9,23.6,81.7
Dar es Salaam,Tanzania,Dar Community 816,11085,River,64.9,36,7,Toilets,28271,No,Yes,8.6,3.1,92.7
Dar es Salaam,Tanzania,Dar Community 817,1450,River,29.7,22,1,Toilets,36840,Yes,Yes,5.0,14.8,75.7
Eastern Rwanda,Rwanda,Eastern Community 818,8264,Well,82.8,16,0,Latrines,9634,No,Yes,6.2,29.5,58.8
Eastern Rwanda,Rwanda,Eastern Community 819,12687,Borehole,15.9,14,1,Toilets,4168,No,Yes,4.3,0.7,63.2
Southern Zambia,Zambia,Southern Community 820,7971,Well,23.7,27,2,Latrines,39952,Yes,Yes,4.4,13.8,80.4
Eastern Ethiopia,Ethiopia,Eastern Community 821,11919,Well,71.6,35,9,Toilets,25710,Yes,No,7.4,25.7,94.8
Southern Zambia,Zambia,Southern Community 822,1133,Borehole,27.5,15,6,Latrines,18991,No,No,5.3,0.0,93.5
Central Senegal,Senegal,Central Community 823,7425,River,87.1,34,4,Toilets,40229,No,No,0.9,11.1,55.5
Southern Zambia,Zambia,Southern Community 824,14854,Well,69.2,3,6,Toilets,26035,No,No,2.4,1.4,84.2
Northern Malawi,Malawi,Northern Community 825,8471,Well,20.2,1,10,Latrines,27667,Yes,No,4.4,6.6,51.8
Central Senegal,Senegal,Central Community 826,11788,Well,57.7,13,9,Toilets,27234,Yes,Yes,7.2,13.4,65.0
Central Senegal,Senegal,Central Community 827,3807,River,27.3,29,8,Toilets,29793,Yes,Yes,4.5,5.6,82.6
Eastern Ethiopia,Ethiopia,Eastern Community 828,9132,Well,15.7,18,5,Toilets,34714,No,Yes,5.8,8.7,66.4
Dar es Salaam,Tanzania,Dar Community 829,4712,Borehole,60.3,2,1,Latrines,13684,Yes,Yes,3.9,2.2,59.9
Western Uganda,Uganda,Western Community 830,7975,River,39.4,7,6,Toilets,17635,Yes,No,8.9,3.4,75.9
Southern Zambia,Zambia,Southern Community 831,4995,Borehole,13.0,44,5,Latrines,35797,No,Yes,7.5,27.0,51.3
Central Senegal,Senegal,Central Community 832,10072,River,81.6,46,0,Latrines,48067,No,Yes,8.9,22.4,60.4
Eastern Nigeria,Nigeria,Eastern Community 833,2026,River,58.0,14,2,Latrines,46612,No,No,5.2,17.3,66.1
Dar es Salaam,Tanzania,Dar Community 834,4962,Borehole,95.0,25,7,Toilets,45796,Yes,No,1.7,2.6,94.5
Northern Ghana,Ghana,Northern Community 835,6447,Well,85.2,47,5,Latrines,8881,No,No,3.5,0.4,60.3
Eastern Rwanda,Rwanda,Eastern Community 836,13398,River,35.4,46,7,Latrines,37261,No,Yes,3.0,17.7,79.7
Northern Malawi,Malawi,Northern Community 837,3714,River,53.1,2,8,Latrines,1575,Yes,Yes,7.7,1.9,68.1
Dar es Salaam,Tanzania,Dar Community 838,13063,Well,13.9,16,9,Toilets,34404,No,Yes,5.4,8.2,68.8
Southern Zambia,Zambia,Southern Community 839,5133,Well,34.9,48,4,Latrines,29087,No,Yes,6.2,0.3,92.0
Northern Ghana,Ghana,Northern Community 840,3728,Borehole,14.1,16,7,Latrines,46966,Yes,No,0.7,13.7,82.1
Central Senegal,Senegal,Central Community 841,9277,River,53.6,49,5,Toilets,11083,Yes,Yes,8.9,6.0,73.7
Eastern Ethiopia,Ethiopia,Eastern Community 842,9112,Well,38.8,2,8,Toilets,36103,Yes,Yes,6.2,3.8,54.1
Dar es Salaam,Tanzania,Dar Community 843,3789,Well,51.5,25,9,Toilets,49427,Yes,Yes,6.3,12.1,52.7
Dar es Salaam,Tanzania,Dar Community 844,12650,Borehole,93.5,45,3,Toilets,8175,Yes,Yes,7.6,2.2,68.4
Western Kenya,Kenya,Western Community 845,5657,Well,40.4,43,2,Latrines,15670,Yes,No,2.0,20.8,55.0
Western Kenya,Kenya,Western Community 846,10981,Well,91.7,36,4,Toilets,6631,Yes,Yes,2.2,0.2,52.2
Northern Ghana,Ghana,Northern Community 847,9392,River,39.5,37,3,Latrines,46984,Yes,No,7.4,8.1,88.4
Northern Malawi,Malawi,Northern Community 848,7590,River,27.0,1,10,Toilets,37059,No,No,4.9,4.1,61.5
Northern Ghana,Ghana,Northern Community 849,3673,Well,61.9,32,10,Toilets,45356,Yes,Yes,1.0,14.8,69.6
Western Kenya,Kenya,Western Community 850,14283,Well,92.1,37,10,Toilets,31865,No,No,1.7,26.0,75.4
Eastern Rwanda,Rwanda,Eastern Community 851,1999,Well,21.8,20,0,Latrines,22460,No,Yes,5.9,19.1,67.8
Northern Malawi,Malawi,Northern Community 852,652,Well,72.1,46,10,Toilets,28269,No,No,2.5,5.8,58.4
Northern Ghana,Ghana,Northern Community 853,1530,River,97.1,34,5,Toilets,19765,Yes,No,7.1,27.2,64.0
Western Uganda,Uganda,Western Community 854,2794,Well,28.9,28,5,Toilets,18178,No,No,3.0,22.0,66.1
Dar es Salaam,Tanzania,Dar Community 855,11585,River,45.4,6,10,Toilets,25944,Yes,No,7.4,18.9,81.6
Dar es Salaam,Tanzania,Dar Community 856,6368,Borehole,72.1,36,8,Latrines,3579,Yes,No,4.0,27.6,91.2
Northern Ghana,Ghana,Northern Community 857,9267,River,91.6,28,6,Toilets,37157,Yes,Yes,8.5,26.8,79.5
Eastern Rwanda,Rwanda,Eastern Community 858,7710,River,29.4,33,6,Latrines,17625,Yes,No,7.5,16.4,77.1
Central Senegal,Senegal,Central Community 859,3444,Well,76.4,50,6,Toilets,48456,Yes,Yes,5.5,15.4,71.9
Northern Ghana,Ghana,Northern Community 860,10215,River,75.4,50,1,Latrines,17568,No,Yes,8.1,24.9,55.9
Western Kenya,Kenya,Western Community 861,13638,Borehole,69.2,36,5,Toilets,25424,No,Yes,3.2,18.4,52.1
Southern Zambia,Zambia,Southern Community 862,14548,River,68.8,1,0,Latrines,18005,No,No,0.6,8.7,74.3
Eastern Rwanda,Rwanda,Eastern Community 863,11100,River,10.2,1,1,Latrines,33208,No,Yes,2.1,11.4,83.1
Northern Malawi,Malawi,Northern Community 864,7192,River,45.6,23,8,Toilets,17199,Yes,No,0.6,9.3,74.8
Southern Zambia,Zambia,Southern Community 865,2830,Borehole,24.9,36,6,Latrines,1949,Yes,No,9.9,17.7,90.0
Central Senegal,Senegal,Central Community 866,1464,Well,38.2,3,5,Latrines,5345,Yes,Yes,0.9,21.7,70.3
Eastern Nigeria,Nigeria,Eastern Community 867,2810,Well,81.3,25,5,Toilets,16673,Yes,Yes,2.5,27.8,76.6
Northern Malawi,Malawi,Northern Community 868,3766,Well,63.9,22,9,Toilets,44843,No,Yes,9.7,8.8,73.5
Northern Ghana,Ghana,Northern Community 869,11510,River,59.0,18,9,Toilets,30408,No,Yes,6.4,1.1,84.5
Eastern Nigeria,Nigeria,Eastern Community 870,9994,Borehole,39.2,14,10,Toilets,37340,Yes,No,3.1,27.4,87.6
Northern Malawi,Malawi,Northern Community 871,9120,Borehole,33.5,43,3,Toilets,38566,No,Yes,6.0,26.7,54.9
Central Senegal,Senegal,Central Community 872,13088,Borehole,72.0,31,2,Latrines,11438,No,Yes,1.9,19.0,67.4
Eastern Nigeria,Nigeria,Eastern Community 873,536,Well,65.4,38,7,Toilets,32873,Yes,Yes,1.4,28.6,53.0
Eastern Ethiopia,Ethiopia,Eastern Community 874,7697,Well,24.8,9,1,Toilets,30571,Yes,No,7.9,10.7,72.9
Central Senegal,Senegal,Central Community 875,9032,Well,88.7,43,8,Latrines,46067,No,No,2.8,15.5,53.9
Northern Ghana,Ghana,Northern Community 876,2878,Well,22.9,8,0,Toilets,5069,Yes,No,1.8,9.6,74.4
Eastern Nigeria,Nigeria,Eastern Community 877,11734,Well,59.2,38,2,Toilets,40450,No,No,0.7,10.0,54.2
Central Senegal,Senegal,Central Community 878,14678,Well,52.8,26,6,Latrines,30566,Yes,No,4.1,20.3,71.0
Western Uganda,Uganda,Western Community 879,8656,Well,36.7,31,2,Latrines,36126,No,No,7.2,8.4,54.3
Northern Ghana,Ghana,Northern Community 880,6415,Borehole,38.0,24,8,Latrines,22344,No,No,1.1,13.9,68.4
Eastern Nigeria,Nigeria,Eastern Community 881,13988,River,74.9,50,2,Toilets,38053,Yes,No,9.0,22.8,79.2
Western Uganda,Uganda,Western Community 882,11643,Well,72.5,47,9,Toilets,1963,No,No,1.9,4.9,94.7
Central Senegal,Senegal,Central Community 883,8672,Well,95.7,31,10,Latrines,21297,Yes,No,1.3,20.3,68.8
Western Uganda,Uganda,Western Community 884,7193,Well,72.6,29,2,Latrines,38776,Yes,Yes,1.8,26.6,57.0
Dar es Salaam,Tanzania,Dar Community 885,13739,Well,38.9,43,5,Toilets,4353,Yes,Yes,2.3,5.2,92.8
Dar es Salaam,Tanzania,Dar Community 886,4739,Well,46.7,43,5,Latrines,27157,No,No,1.5,0.5,58.5
Eastern Ethiopia,Ethiopia,Eastern Community 887,14902,River,46.9,45,1,Latrines,45335,Yes,Yes,0.6,25.7,89.3
Northern Ghana,Ghana,Northern Community 888,14446,Borehole,83.4,41,9,Latrines,18460,Yes,Yes,6.3,5.4,81.8
Western Kenya,Kenya,Western Community 889,2948,Borehole,32.4,30,6,Latrines,45898,Yes,Yes,9.2,3.6,75.1
Western Kenya,Kenya,Western Community 890,5801,Well,42.9,7,2,Latrines,27766,No,Yes,9.3,18.9,86.3
Eastern Nigeria,Nigeria,Eastern Community 891,5588,Borehole,46.0,7,3,Latrines,17187,No,No,6.3,13.3,79.3
Southern Zambia,Zambia,Southern Community 892,13959,Borehole,85.6,18,9,Latrines,27374,No,No,5.1,29.3,63.3
Northern Ghana,Ghana,Northern Community 893,6738,Borehole,12.3,14,7,Toilets,16401,No,No,9.3,21.3,63.7
Eastern Ethiopia,Ethiopia,Eastern Community 894,1550,Borehole,35.5,6,3,Toilets,1104,No,Yes,3.4,24.8,84.2
Southern Zambia,Zambia,Southern Community 895,6512,Borehole,31.0,19,2,Latrines,8969,Yes,No,4.4,14.7,70.2
Central Senegal,Senegal,Central Community 896,6535,Borehole,81.2,17,5,Latrines,24401,No,Yes,7.8,6.6,66.4
Eastern Rwanda,Rwanda,Eastern Community 897,8964,Borehole,37.6,45,5,Toilets,31143,Yes,Yes,5.6,7.0,88.1
Central Senegal,Senegal,Central Community 898,5106,River,39.1,18,3,Toilets,8330,No,No,9.0,29.2,50.1
Eastern Rwanda,Rwanda,Eastern Community 899,4079,Well,46.4,9,5,Latrines,8441,Yes,No,4.2,11.3,67.7
Western Uganda,Uganda,Western Community 900,7540,Well,37.9,22,7,Latrines,49869,No,No,5.8,12.9,61.8
Western Kenya,Kenya,Western Community 901,14447,River,47.2,49,0,Toilets,30688,No,No,8.1,23.2,68.6
Western Kenya,Kenya,Western Community 902,8371,Well,81.9,26,2,Latrines,37671,No,No,1.1,28.6,64.4
Eastern Ethiopia,Ethiopia,Eastern Community 903,3274,Well,74.1,7,6,Toilets,9954,Yes,Yes,7.8,0.3,59.1
Eastern Nigeria,Nigeria,Eastern Community 904,8731,Well,53.4,14,10,Toilets,45206,Yes,Yes,5.7,1.5,93.0
Eastern Ethiopia,Ethiopia,Eastern Community 905,1961,Well,15.8,4,0,Toilets,46077,Yes,Yes,5.0,9.3,62.3
Eastern Nigeria,Nigeria,Eastern Community 906,1428,Well,62.2,20,5,Latrines,37428,Yes,No,4.1,8.3,51.8
Southern Zambia,Zambia,Southern Community 907,4358,Borehole,74.2,41,2,Toilets,3042,No,No,0.5,14.8,84.5
Northern Ghana,Ghana,Northern Community 908,4417,River,39.2,48,9,Toilets,47612,No,No,2.6,28.0,52.7
Northern Malawi,Malawi,Northern Community 909,3817,Borehole,34.2,22,9,Latrines,3954,No,No,5.8,0.1,84.9
Southern Zambia,Zambia,Southern Community 910,10686,Borehole,19.5,35,2,Latrines,5862,Yes,Yes,5.4,1.5,64.1
Western Kenya,Kenya,Western Community 911,6393,Borehole,61.2,8,7,Toilets,46265,Yes,Yes,9.7,1.7,52.7
Central Senegal,Senegal,Central Community 912,4492,Borehole,16.7,47,5,Toilets,41102,Yes,Yes,8.8,14.3,83.1
Western Kenya,Kenya,Western Community 913,3877,River,23.3,40,10,Toilets,4969,No,Yes,6.7,15.6,53.4
Eastern Rwanda,Rwanda,Eastern Community 914,5655,Borehole,88.3,12,2,Toilets,26535,Yes,Yes,5.4,20.6,83.6
Western Kenya,Kenya,Western Community 915,7076,River,43.4,18,8,Toilets,21558,No,Yes,7.1,0.9,61.1
Eastern Ethiopia,Ethiopia,Eastern Community 916,4187,Well,26.2,9,4,Latrines,37904,No,Yes,7.9,5.0,56.5
Northern Ghana,Ghana,Northern Community 917,3202,River,78.4,46,7,Toilets,40994,Yes,Yes,0.6,11.3,75.1
Southern Zambia,Zambia,Southern Community 918,5444,River,23.0,9,8,Latrines,13998,No,Yes,1.1,23.3,92.8
Eastern Ethiopia,Ethiopia,Eastern Community 919,13717,Borehole,82.5,21,8,Latrines,49140,No,Yes,7.5,25.5,66.5
Eastern Nigeria,Nigeria,Eastern Community 920,2475,River,83.1,34,2,Latrines,37408,Yes,Yes,8.8,25.1,55.1
Eastern Ethiopia,Ethiopia,Eastern Community 921,1643,River,53.1,14,10,Latrines,49840,Yes,No,4.2,11.0,70.6
Eastern Rwanda,Rwanda,Eastern Community 922,3862,Borehole,89.5,19,1,Toilets,24179,Yes,No,9.8,1.2,91.0
Northern Malawi,Malawi,Northern Community 923,13487,River,94.6,21,10,Toilets,48461,No,Yes,7.4,18.2,89.8
Dar es Salaam,Tanzania,Dar Community 924,5528,River,91.2,26,0,Toilets,3476,No,No,8.0,22.4,50.4
Western Kenya,Kenya,Western Community 925,14276,Borehole,30.8,6,1,Latrines,40313,Yes,Yes,5.6,2.9,73.9
Northern Ghana,Ghana,Northern Community 926,1989,River,52.6,42,4,Toilets,43871,Yes,Yes,9.7,7.4,57.7
Central Senegal,Senegal,Central Community 927,7280,River,64.6,45,0,Latrines,22554,No,No,9.1,17.4,80.2
Northern Malawi,Malawi,Northern Community 928,11484,River,66.6,16,10,Toilets,25795,Yes,No,6.7,25.5,85.1
Eastern Rwanda,Rwanda,Eastern Community 929,7699,Well,86.6,45,2,Latrines,47428,Yes,Yes,7.9,0.4,91.3
Eastern Rwanda,Rwanda,Eastern Community 930,1161,River,93.1,18,1,Toilets,37514,Yes,No,6.4,15.3,57.8
Eastern Rwanda,Rwanda,Eastern Community 931,4538,Borehole,84.5,45,4,Toilets,26618,No,No,0.7,4.7,91.3
Eastern Nigeria,Nigeria,Eastern Community 932,14997,Borehole,29.9,36,6,Toilets,12593,Yes,Yes,0.9,16.1,94.4
Southern Zambia,Zambia,Southern Community 933,11984,River,19.0,41,10,Latrines,48216,Yes,No,3.3,28.7,90.8
Western Kenya,Kenya,Western Community 934,4978,River,31.4,33,2,Toilets,24429,No,Yes,2.6,18.9,75.9
Central Senegal,Senegal,Central Community 935,9799,Borehole,12.3,40,1,Latrines,26606,Yes,Yes,8.4,18.6,89.1
Eastern Nigeria,Nigeria,Eastern Community 936,11376,Borehole,99.1,41,3,Toilets,6955,Yes,Yes,7.1,7.6,72.2
Northern Malawi,Malawi,Northern Community 937,7212,River,37.2,6,4,Toilets,33909,Yes,No,2.4,2.6,67.6
